unite_spaciale,population,tendance_parti,frontiere_int,enseignants,benef_aide_soc,boursiers,etrangers,requerants,crimes
Zürich,1520968,D,N,0.008112662462326625,0.02312211696761536,0.003940911314373478,0.26850926515219253,3.2808053818357785e-4,0.004779850726642507
Bern,1034977,D,N,0.009137884223514145,0.028767789042655055,0.003953711048651323,0.16335725334959134,4.6281221708308496e-4,0.003167220141123909
Luzern,409557,C,N,0.008855666000092783,0.017516487326550395,0.002724895435800145,0.18528556464667922,2.026579938811936e-4,0.0021169214541565643
Uri,36433,C,N,0.009008316636016797,0.00853621716575632,0.0057640051601570005,0.12343205335821919,1.9213350533856669e-4,0.002607526143880548
Schwyz,159165,D,N,0.007871077184054283,0.010410580215499638,0.00418433700876449,0.21573210190682626,1.5078691923475638e-4,0.0024188734960575503
Obwalden,37841,D,N,0.009035173489072698,0.008218598874236939,0.003356148093337914,0.14653418250046246,0.0016120081393197854,0.0032504426415792395
Nidwalden,43223,D,N,0.008629664761816626,0.006616847511741434,0.002961386298961201,0.146935659255489,2.3135830460634384e-4,0.001804594775929482
Glarus,40403,G,N,0.009521570180432147,0.014850382397346732,0.004578867905848575,0.240873202484964,4.2076083459149076e-4,0.0024255624582332994
Zug,126837,D,N,0.009385274013103432,0.012086378580382695,0.0026017644693583104,0.28319812042227427,1.7345096462388735e-4,0.0025781120650914167
Fribourg,318714,G,N,0.010143577000069027,0.0168144480631538,0.006011659356037074,0.22703426896841683,6.400722905175173e-4,0.0034921591144411604
Solothurn,273194,D,O,0.007764445778457798,0.025454438970109152,0.004106971602597422,0.22619457235517618,4.538899097344744e-4,0.0037116481328286857
Basel-Stadt,194766,G,O,0.009816908495322593,0.046106609983261965,0.009986342585461529,0.3640214411139521,0.0011963073637082447,0.008281732951336475
Basel-Landschaft,288132,C,O,0.009371399219802035,0.021781683395110576,0.004508350339427762,0.2281454333430511,2.0476725945052962e-4,0.002186497855149723
Schaffhausen,81991,C,O,0.009846202631996193,0.02012415996877706,0.0052444780524691734,0.2605773804441951,2.3173275115561463e-4,0.003988242611993999
Appenzell Ausserrhoden,55234,D,N,0.008753666220081833,0.01716334142013977,0.004055473078176486,0.16319658181554839,9.052395263786798e-5,0.002009631748560669
Appenzell Innerrhoden,16145,D,N,0.009711985134716631,0.0067513161969650045,0.004149891607308764,0.11297615360792815,4.955094456488077e-4,0.001424589656240322
St. Gallen,507697,D,O,0.009430231023622357,0.015899246991808107,0.003005729795527647,0.24109262020457084,5.08177121393272e-4,0.0028501251730855214
Graubünden,198379,G,O,0.008715640264342496,0.009481850397471507,0.009330624713301308,0.1864209417327439,2.0667510169927262e-4,0.00281279772556571
Aargau,678207,D,O,0.009288019734387878,0.01558521218448055,0.004864296593812803,0.25128611176233806,2.3444169700401204e-4,0.0026643782797877344
Thurgau,276472,D,O,0.00941288810440117,0.011502068925605487,0.0038448739836222114,0.2486978789895541,4.123383199745363e-4,0.002636795046152956
Ticino,353343,D,O,0.010159250360131657,0.02222486365939045,0.006659251775187283,0.27799333791811354,7.075278129183259e-4,0.005453624381974455
Vaud,799145,G,O,0.010545395391324477,0.034091435221392866,0.00897709426950053,0.3319385092817949,2.815509075324253e-4,0.0049427825989025774
Valais,343955,D,O,0.008761320521579859,0.013173234870840662,0.010088529022691922,0.2269948103676353,2.849209925717027e-4,0.003907487898126208
Neuchâtel,176850,D,O,0.010476109697483743,0.05280746395250212,0.00616906983319197,0.2527961549335595,0.0012666101215719537,0.003924229573084535
Genève,499480,G,O,0.01158024345319132,0.04582565868503243,0.009914310883318652,0.4002963081604869,2.202290381997277e-4,0.007163449987987507
Jura,73419,G,O,0.011403042809082118,0.025279559786976123,0.009003119083615958,0.1466650322123701,2.1792723954289762e-4,0.002751331399229082
